CUST_ID,PHONE_NUM,EMAIL
2001, +91 91234 56789 ,anna.peterson@example.com
2002, 09123456780,mark.taylor@example.co.in
2003, +91-98765-12345,lily.johnson@learninghub.org
2004, 09876543222,james.mitchell@mitchellfoods.net
2005, +91 80123 45678,zoey.reed@reedholdings.in
2006, 07012345679,alex.murphy@murphymedia.com
2007, +91 90909 09090,nora.clark@clarkarchitects.co
2008, 09234567891,brandon.wright@wrightsolutions.in
2009, +91 88776 55443,chloe.scott@scottuniversity.edu
2010, 08123456789,owen.lee@leelogistics.com
2011, +91 99880 77665,elise.young@youngenterprises.in
2012, 08987654322,henry.hall@hallconsulting.co
2013, +91 76543 21098,sophia.evans@evanstraining.org
2014, 07788990011,logan.adams@adamsfinance.in
2015, +91 72345 67890,isla.campbell@campbellworks.net
