CUST_ID,F_NAME,L_NAME,ORG_NAME,DOB,GOVT_ID,TYPE
3001,Hannah,Bell,Bell Innovations,1988-10-09,SSN 333-44-5555,Individual
3002,Isaac,Martinez,Martinez Logistics,1976-03-21,AB-8899001,Corp
3003,Maya,Brooks,Brooks Academy,2001-06-18,study-445566,Student
3004,Caleb,Reyes,Reyes Construction,1992-05-12,DL-229933,Individual
3005,Ella,Foster,Foster Media,1984-11-27,ID 11223344,Corp
3006,Noah,Parker,Parker Learning,2003-08-03,student007,Student
3007,Lina,Price,Price Services,1990-02-14,TX-776655,Individual
3008,Finn,Hughes,Hughes Retail,1979-07-30,passport 998877,Corp
3009,Nina,Owens,Owens Clinic,2005-09-26,STU-224488,Student
3010,Zane,Bryant,Bryant Design,1997-12-16,SSN 666-77-8888,Individual
3011,Kate,Russell,Russell Institutes,1983-01-31,DL-33445566,Corp
3012,Sean,Hayes,Hayes Enterprises,2004-04-20,student 778899,Student
3013,Leah,Francis,Francis Foods,1973-08-11,ID#334455,Individual
3014,Evan,Johnston,Johnston Finance,1981-09-07,CA 556677,Corp
3015,Avery,Sanders,Sanders Productions,1999-10-22,STU-990011,Student
