CUST_ID,PHONE_NUM,EMAIL
1001, +91-98765 43210 ,john.doe@example.com 
1002, 09876543211,jane.smith@example.net
1003, +91 9876543212,michael.brown@globaltech.com
1004, +91-91234-56789,emily.davis@davisacademy.edu
1005, 08012345678,robert.johnson@johnsonco.com
1006, +91 70123 45678 ,linda.wilson@wilsonservices.in
1007, 09987654321,david.lee@familyoffice.org
1008, +91-98123-45670,sarah.martin@martinlearning.com
1009, 09123456789,kevin.clark@clarkmfg.com
1010, +91 81234 56789,olivia.walker@walkerdesign.co
1011, 08123456780,noah.hall@halltutors.edu
1012, +91-99876-54321,ava.young@youngholdings.com
1013, 08987654321,lucas.king@kingenterprises.org
1014, +91 78901 23456,grace.scott@scottedu.com
1015, 07712345678,ethan.adams@adamslogistics.com
