CUST_ID,ADDR_LINE_1,ADDR_LINE_2,CITY,ST_CODE,ZIP_CD
2001,14 MG Road,Apt 3C,Mysuru,KA,570001
2002,89 Kazi Nazrul Islam Ave,,Kolkata,WB,700053
2003,120 Apollo St,Floor 2,Chennai,TN,600086
2004,27 Jalsa Complex,,Hyderabad,TS,500081
2005,58 Connaught Place,Unit 7,New Delhi,DL,110001
2006,239 Bandra Kurla Complex,Suite 12,Mumbai,MH,400051
2007,18 Boring Road,,Patna,BR,800001
2008,44 Park Street,Ste 9,Kolkata,WB,700016
2009,75 Residency Road,,Bengaluru,KA,560025
2010,3 Old Jail Road,,Jaipur,RJ,302001
2011,181 Circular Road,Unit 4,Shimla,HP,171001
2012,90 Poornaprajna Nagar,,Mangaluru,KA,575006
2013,202 Pusa Road,Floor 6,New Delhi,DL,110005
2014,66 Meerut Road,,Ghaziabad,UP,201002
2015,51 MG Road,Suite 5,Surat,GJ,395003
